No	cc_id	citation_id	USE	EXTEND	MENTION	NOTALGO	CitationContext
749	89543142	94302755	0	0	1	0	"lated WorksSo far, many network applications and modelssfor LAN or WAN have been reevaluated undersself-similar traffic [7]. Recently, this traffic hassbeen explored in multiprocessor systems as wells=-=[8, 16, 17]-=-. In particular, the observation of selfsimilarity in interconnection network trafficsgenerated among multiprocessors [8] motivatedsthe performance reevaluation of interconnectionsnetwork properties p"
							
752	88050316	92379994	0	0	0	1	"xposed to mainstream or middle class culture. For example, youth draw role models from television and radio (Carter 2005: Ch. 5); the American dream provides a cultural template for many of the poor (=-=Hochschild 1995-=-); feminism shapes how young mothers think about economic independence and marriage (Edin and Kefalas 2005); and religion provides a repertoire for constructing strategies of action in black communiti"
							
754	14756543	13753614	0	0	1	0	"tion approach, these works refer to several extensions of Petri nets, including hybrid PN, where places and transitions are either discrete, or continuous [2,16]. Qualitative aspects are discussed in =-=[20,12]-=-. One can identify clear correspondences between qualitative properties of the dynamics of biological networks 2sRemy et al and classical PN behavioural properties. For example, a dead marking represe"
							
755	17564062	16427873	1	0	0	0	"ical formulation, we investigated the relationship between alignment Markov models using a conventional distance measure between their probability distributions. The Kullback-Leibler Divergence (KLD) =-=[23]-=- can be applied on the space of alignment words X = {0,1,x} 64 to produce a distance between the two models [see Additional file 3]: KLD(P,Q) = ? w?X p(w) log p(w) q(w) KLD(P,Q) represents the relativ"
							
756	144806769	163670102	0	0	0	1	"ring machines, such as quantum finite automata (QFA). QFA can be thought of as a theoretical model of quantum computers in which the memory is finite and described by a finite-dimensional state space =-=[1]-=-, as finite automata (FA) are a natural model for classical computing with finite memory [12]. QFA were first introduced independently by Kondacs and Watrous [13], as well as Moore and Crutchfield [17"
							
757	193104420	226686623	0	0	0	1	"uce the computation time using simple addition/subtraction operations in order to embed the SQI module in a PIG. This paper is organized as follows. In section 2, the MFL signals and conventional SQI =-=[6]-=- are explained. A modified SQI is presented in section 3 and the experimental results are given in section 4. 2. MFL Signals and SQI The MFL method is a nondestructive inspection technique which detec"
							
760	82128958	85110686	0	0	1	0	"tain or not the parameter P . Statistical estimation for plant growth models that can be represented in this framework, can be tackled with tools borrowed from the theory of Hidden Markov models (cf. =-=[68]-=-). One popular solution is to perform parametric identification via maximum likelihood estimation. The observed vector (after destruction of the plant) consists of organ masses of mature organs (those"
							
761	11032478	10372475	0	0	1	0	"(also described in x12.15 of [192]). Chorin [52] describes an improvement of this method. More details on the solution of the Riemann 46 LeVeque =-=[60]-=-. Solving the Riemann problem for non-ideal gases can be more difficult. See [57], for example. 4. Numerical Methods in One Dimension 4.1 Finite difference theory For students not familiar with numeri"
							
762	10929301	10281378	0	0	1	0	"ehavior across restricted scales of functions. For example, special orthogonal series procedures with adaptively chosen windows attain minimax behavior over a scale of L 2 Sobolev balls automatically =-=[15, 20, 34]-=-. Unfortunately, such methods, based ultimately on linear procedures, are not able to attain nearminimax behavior over L p Sobolev balls; they exceed the minimax risk by factors growing like n ffi(oe;"
							
763	81981051	84931406	0	0	1	0	"rs mainly in their requirement of smart meters to form groups over which aggregates are computed which also implicates meter to meter communication and implicitly assumes no failures. Furthermore, in =-=[1]-=- a model for measuring privacy in smart metering is developed and subsequently two different solutions to privacy are presented: A trusted third party approach, where aggregation takes place at the th"
							
764	12060995	11289623	0	0	1	0	"ID system reliability has long been modeled using Markov models [4, 7, 3, 13, 16, 22], and Carrasco recently used a bounded technique to solve an involved model for the availability of a RAID5 system =-=[5]-=-. Dugan and Ciardo [8] modeled a replicated file system using Petri nets, which were in turn solved by a Markov model generated from the Petri net. Markov modeling has also been used to provide depend"
							
765	9318868	8833771	0	0	1	0	"will tend 36 to have little in common. Given these constraints, the animat problem may be therefore characterized technically as ""incremental learning of multiple disjunctive concepts under payof=-=f "". [47]-=- 2.4.2 Computational Neuroethology Computational neuroethology investigates the neural mechanisms of behavior using the techniques of computational neuroscience, stressing the environment in which the"
							
766	15724805	14663656	0	0	0	1	"is essential to produce innovative as well as stable products [5]. Espoused descriptions of work often differ from the actual processes and therefore the focus on them impedes learning and innovation =-=[1]-=-. Mailing Lists Interviews with team members identified the intensive use of a mailing list. Although we predicted that lateral communication would be frequent and produce informationsasymmetry, proje"
							
767	7367601	7044685	1	0	0	0	"y not use an alternative, possibly simpler, notation and model of concurrency? We investigated several alternative approaches including several state machines models (I/O Automata [LT88], StateCharts =-=[Har87]-=-, SMV [C + 86], and SDL [Hol91]), Petri Nets [Pet77], and regular expressions. While these systems have been used to model protocols and have well-defined mechanisms for composition, we favor the use "
							
768	27759365	27044016	1	0	0	0	"er case study: a failure detector algorithm. 4.2 Proving a time bound in a failure detector This case study uses a forward simulation relation to prove the time bound of a failure detector taken from =-=[8]-=-. The failure detector implementation consists of three components: (1) a sending process P which sends a heartbeat message every u1 time units as long as it has not failed, (2) a timed channel C whic"
							
770	141465001	160917882	0	0	0	1	"the spectral index, including use of a non-minimal Ka?hler potential, see Refs. [16, 17, 18]. (For a recent study leading to the reduction of the spectral index in non-SUSY hybrid inflation, see Ref. =-=[19]-=-.) Minimal SUSY Hybrid Inflation SUSY hybrid inflation models are described by the superpotential [1, 2] W = ?S(???M2) , (1) where S is a gauge singlet superfield acting as the inflaton, and ?, ? are "
							
771	62123942	62974635	0	0	0	1	"chial epithelial cells. Previously, it was shown that the stability of a chemokine mRNA coding for eotaxin-1 (or CCL11) in BEAS-2B cells increased when the cells were treated with both IL-4 and TNF-? =-=(2)-=-, suggesting the feasibility of using this in vitro cellular model system to study gene regulation relevant to airway inflammation. This approach is further substantiated by our current genome-wide mi"
							
772	34864457	34991624	0	0	1	0	"avior. III. COMPUTED TORQUE CONTROL TECHNIQUES The main concept of computed torque control is to compute controller command regarding a priori knowledge about the system expressed in a dynamics model =-=[10]-=-, [11], [15]. In robot control two control methods are often used which will (4)qd ?q d "
